major_name,major_url,table_index,course_name,course_code,credits,raw_cells
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Pháp luật đại cương,LUCS1129,3,"['1', '1', 'Pháp luật đại cương', 'LUCS1129', '3', '', '3', '', '', '', '', '', '', 'II']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Triết học Mác - Lênin,LLNL1105,3,"['2', '2', 'Triết học Mác - Lênin', 'LLNL1105', '3', '', '3', '', '', '', '', '', '', 'II']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Kinh tế chính trị Mác - Lênin,LLNL1106,2,"['3', '3', 'Kinh tế chính trị Mác - Lênin', 'LLNL1106', '2', '', '', '2', '', '', '', '', '', 'III']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Chủ nghĩa xã hội khoa học,LLNL1107,2,"['4', '4', 'Chủ nghĩa xã hội khoa học', 'LLNL1107', '2', '', '', '', '2', '', '', '', '', 'IV']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Tư tưởng Hồ Chí Minh,LLTT1101,2,"['5', '5', 'Tư tưởng Hồ Chí Minh', 'LLTT1101', '2', '', '', '', '', '2', '', '', '', 'V']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Lịch sử Đảng Cộng sản Việt Nam,LLDL1102,2,"['6', '6', 'Lịch sử Đảng Cộng sản Việt Nam', 'LLDL1102', '2', '', '', '', '', '', '2', '', '', 'VI']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Tiếng Anh 1,NNKC1131,3,"['7', '1', 'Tiếng Anh 1', 'NNKC1131', '3', '', '', '', '', '', '', '', '', '']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Tiếng Anh 2,NNKC1132,3,"['8', '2', 'Tiếng Anh 2', 'NNKC1132', '3', '', '', '', '', '', '', '', '', '']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Tiếng Anh 3,NNKC1133,3,"['9', '3', 'Tiếng Anh 3', 'NNKC1133', '3', '', '', '', '', '', '', '', '', '']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Kinh tế vĩ mô 1,KHMA1101,3,"['10', '4', 'Kinh tế vĩ mô 1', 'KHMA1101', '3', '3', '', '', '', '', '', '', '', 'I']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Đại số tuyến tính,TOCB1101,3,"['11', '5', 'Đại số tuyến tính', 'TOCB1101', '3', '3', '', '', '', '', '', '', '', 'I']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Lý thuyết xác suất và thống kê toán,TOKT1145,3,"['12', '6', 'Lý thuyết xác suất và thống kê toán', 'TOKT1145', '3', '', '3', '', '', '', '', '', '', 'II']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Kinh tế vi mô 1,KHMI1101,3,"['13', '7', 'Kinh tế vi mô 1', 'KHMI1101', '3', '', '3', '', '', '', '', '', '', 'II']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Vật lý đại cương,CNTT1191,3,"['14', '1', 'Vật lý đại cương', 'CNTT1191', '3', '3', '', '', '', '', '', '', '', 'I']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Nhập môn công nghệ thông tin,CNTT1116,3,"['15', '2', 'Nhập môn công nghệ thông tin', 'CNTT1116', '3', '3', '', '', '', '', '', '', '', 'I']"
Công nghệ thông tin,https://fit.neu.edu.vn/major/cong-nghe-thong-tin-7480201,0,Cơ sở dữ liệu,TIKT1130,3,"['16', '3', 'Cơ sở dữ liệu', 'TIKT1130', '3', '', '3', '', '', '', '', '', '', 'II']"
